Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Rio Grande do Sul (RS),45 a 55 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,Cashback,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Não conheço esse programa,"Não, fico com a sanduicheira",Não necessito de mais um microondas,,,No mesmo dia,Não,R$100,0,0
Rio Grande do Sul (RS),mais de 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,NADA,"Sim, gastaria e trocaria pelo microondas",,MICRO ONDAS É MAIS UTILIZAVEL,ÓTIMO,Na mesma semana,Não,R$50,1,1
São Paulo (SP),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,está correto a quantidade de selos =2,"Sim, gastaria e trocaria pelo microondas",,trocaria imediatamente se o produto fosse de meu necessidade,interessante desde que o preço fosse justo e não acima do preço de mercado apenas em funçao da dataa do pre,Na mesma semana,Depende da campanha,R$50,0,0
São Paulo (SP),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,Cupons de desconto,,,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras",Coca-Cola,Coca-Cola,,Não gosto de tipo de promoção,"Não, fico com a sanduicheira",Não gosto desse tipo de promoção,,,No mesmo dia,Não,R$400,0,0
Rio Grande do Sul (RS),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,Ativação de ofertas em aplicativos,,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,A compra renderia 2 cupons,"Sim, gastaria e trocaria pelo microondas",,O valor da sanduicheira é menos,Útil,Na mesma semana,Depende da campanha,R$100,1,1
São Paulo (SP),mais de 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,"São 2 selos, pois a geladeira é do setor eletro e não entra no programa","Sim, gastaria e trocaria pelo microondas",,Depende da minha necessidade no momento. Se precisar mais de um ou outro produto.,Não me motiva.,No mesmo mês,Depende da campanha,R$100,1,1
Rio Grande do Sul (RS),18 a 25 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,,,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Pepsi,,Coca-Cola com selos em dobro,Entendo que tenho dois selos e meu próximo selo costura 16 reias,"Sim, gastaria e trocaria pelo microondas",,"Compro bastante no mercado, os 100 reias seriam gastos de qualquer forma","Gosto, desde que sejam o padrão. Não gosto de locais que empurram campanhas progressistas",Em até 2 meses,Sim,R$100,1,1
Ceará (CE),25 a 35 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,Cupons de desconto,,,,,,,,,,Acúmulo de pontos,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,muito bom.,"Sim, gastaria e trocaria pelo microondas",,porque o micro-ondas tem mais vantagem.,ótimo,Na mesma semana,Não,R$400,1,1
Bahia (BA),mais de 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,Cartela de selinhos,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,A compra deve ser sobre o valor total do cupom.,"Sim, gastaria e trocaria pelo microondas",,Depende da necessidade de cada pessoa.,"Acho válida qualquer campanha, mesmo sazonal.",No mesmo dia,Provavelmente,R$100,1,0
Pernambuco (PE),25 a 35 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,Cupons de desconto,,,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Entendo como uma recompensa,"Sim, gastaria e trocaria pelo microondas",,Porque compensa mais o microondas,Legal,No mesmo dia,Não,R$50,1,1
São Paulo (SP),35 a 45 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Nenhum deles,,,"Que os selos só são para consumíveis e não bens duráveis, e que terei direito a dois e selos .","Não, fico com a sanduicheira",Tenho gastos mensais controlados e não ultrapassaria mesmo por um bem. Valeria mais a pena um desconto no valor da sanduicheira para a próxima compra.,,,No mesmo dia,Não,R$100,0,0
Ceará (CE),mais de 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",Extra,,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),,Terminal de auto atendimento na loja,Cartela de selinhos,,,,,,,,Cartela de selinhos,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Estimula a realização de compras além do essencial e do programado na lista de compras.,"Sim, gastaria e trocaria pelo microondas",,Já possuo sanduicheira,Uma forma de lembrar e presentear pessoas da família e amigos,Na mesma semana,Sim,R$200,1,1
Santa Catarina (SC),45 a 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,Rappi,,iFood,Cornershop,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,Cashback,Cupons de desconto,,Acúmulo de pontos,,,,,,,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Nenhum deles,,,Não entendi,"Sim, gastaria e trocaria pelo microondas",,Não vale a pena,Não interessa,No mesmo dia,Não,R$100,0,0
Bahia (BA),45 a 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,,,,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,Terei direito a 2 selos,"Sim, gastaria e trocaria pelo microondas",,O micro-ondas tem maior valor.,Excelentes,Na mesma semana,Provavelmente,R$100,1,1
Ceará (CE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,Cupons de desconto,,,,,,,,Cupons de desconto,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Muito bom,"Sim, gastaria e trocaria pelo microondas",,Por que já tenho em casa,Excelente,Na mesma semana,Provavelmente,R$100,1,1
São Paulo (SP),45 a 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",Extra,,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Não levo muito a sério selos pois acho muito chato está juntando selos é colando não curto,"Sim, gastaria e trocaria pelo microondas",,Sanduicheira não mim interessaria muito,Preços bom é melhor opção,Na mesma semana,Não,R$100,1,0
Pernambuco (PE),25 a 35 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,,,,Cashback,Cupons de desconto,,,Acúmulo de milhas,,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,Que ao acúmulo de selos eu posso resgatar por produtos ou serviços (ex: obter um desconto maior em respectivo produto),"Sim, gastaria e trocaria pelo microondas",,Porque a recompensa pelo outro produto é melhor (na minha necessidade) e mais viável,Que acarreta muito bem nas vendas e também a procura por tal produto através do marketing,No mesmo dia,Não,R$100,1,1
Pernambuco (PE),18 a 25 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,"a geladeira é do setor eletro, logo não conta no programa de pontos","Não, fico com a sanduicheira","porque iria gastar 400,00 a mais do meu orçamento",,,Na mesma semana,Provavelmente,R$100,0,1
Bahia (BA),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,,,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,entendi,"Não, fico com a sanduicheira",pq ja tenho,,,,Depende da campanha,R$400,1,0
Rio Grande do Sul (RS),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",Extra,Carrefour,,,,,,,,,,,,,,,,Pessoas na loja ajudando no cadastro,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Pepsi,,Pepsi,Nao me.intereça esses tipo dedesconto prefiro é preços em ofértas,"Sim, gastaria e trocaria pelo microondas",,Porq gastaria um.pouco mais e levaria um produto melhor,Nao gosto,No mesmo dia,Não,R$50,0,0
Paraná (PR),25 a 35 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Terminal de auto atendimento na loja,Cartela de selinhos,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,Cartela de selinhos,,,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Pouca coisa,"Sim, gastaria e trocaria pelo microondas",,Já tenho sanduicheira,Boas,No mesmo dia,Sim,R$100,1,1
Rio Grande do Sul (RS),45 a 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Ganhei 2 selos,"Sim, gastaria e trocaria pelo microondas",,Porque valeria mais a pena trocar pelo micro-ondas,Uma boa idéia,No mesmo dia,Depende da campanha,R$100,1,1
Bahia (BA),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Coca-Cola com selos em dobro,Nesta compra eu acumulei 2 selos,"Não, fico com a sanduicheira",Não gosto de microondas,,,Na mesma semana,Não,R$400,0,1
São Paulo (SP),25 a 35 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,Cartela de selinhos,,Cupons de desconto,,,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos",Pepsi,,Pepsi,que nao tenho direito por ser eletro,"Não, fico com a sanduicheira",Pela minha condição financeira,,,No mesmo dia,Provavelmente,R$100,1,1
